informal;normalized
pastrqo;pastroq
qaalysan;qalaysan
o‘rrtoq;o‘rtoq
qaalay;qalay
maayli-mi;mayli-mi
keetayapmiz;ketayapmiz
yarashaadi-ya;yarashadi-ya
iqmmatmi;qimmatmi
toppshiriqni;topshiriqni
kelad-ya;keladi-ya
ok‘rmayman;ko‘rmayman
qliganmi edi;qilganmi edi
bormaymna;bormayman
k‘rmayman;ko‘rmayman
qiziqqcha;qiziqcha
qilganmi dei;qilganmi edi
narsa  yo‘q;narsa yo‘q
qila oolmayman;qila olmayman
ko‘rmayyman;ko‘rmayman
nechap ul;necha pul
or‘toq;o‘rtoq
bo‘lmaaydi;bo‘lmaydi
yarasahdi-ya;yarashadi-ya
obrdim-u;bordim-u
necha  pul;necha pul
bo‘lmyadimi;bo‘lmaydimi
qaysi-l;qaysi-la
qsqacha;qisqacha
ketovtti;ketvotti
ovoz beerayapti;ovoz berayapti
qmmatmi;qimmatmi
yomnomi;yomonmi
rahmmat;rahmat
yarashaid-ya;yarashadi-ya
ymoonmi;yomonmi
qlia olmayman;qila olmayman
qarshi-lla;qarshi-la
bilamdim-ku;bilmadim-ku
qilganmi ed;qilganmi edi
yozimban;yozibman
boirbman;boribman
pastorq;pastroq
o‘rtachha;o‘rtacha
hch;hech
inma qilayapsan;nima qilayapsan
qalaay ishlar;qalay ishlar
nima qilyapsan;nima qilayapsan
iqlgan;qilgan
hammaaa;hamma
boordim-u;bordim-u
qalay isshlar;qalay ishlar
aslom;salom
bilmadim-k;bilmadim-ku
so‘rdi;so‘radi
nomral;normal
qimmmatmi;qimmatmi
yoomonmi edi;yomonmi edi
yomoonmi;yomonmi
iltioms;iltimos
yomomni edi;yomonmi edi
qalaysaaan;qalaysan
ketayampiz;ketayapmiz
qimmatmmi;qimmatmi
bilamyman;bilmayman
qiilayapman;qilayapman
ovzo berayapti;ovoz berayapti
klasski;klassik
kleibman;kelibman
keladi-yya;keladi-ya
bo‘lmaydiim;bo‘lmaydimi
yarsahadi-ya;yarashadi-ya
naarsa yo‘q;narsa yo‘q
ymoonmi edi;yomonmi edi
nima qilayaspan;nima qilayapsan
ozginaaa;ozgina
g‘albaa;g‘alaba
boo‘ladi;bo‘ladi
qilgaanmi edi;qilganmi edi
ovoz ebrayapti;ovoz berayapti
billmayman;bilmayman
gi‘sht;g‘isht
bo‘lamydimi;bo‘lmaydimi
ovoz  berayapti;ovoz berayapti
kealdi-ya;keladi-ya
ovoz breayapti;ovoz berayapti
or‘tacha;o‘rtacha
yoizbman;yozibman
nimaadir;nimadir
yomnmi;yomonmi
kiimdir;kimdir
bilmamyan;bilmayman
qial olmayman;qila olmayman
so‘‘radi;so‘radi
nima qilayapssan;nima qilayapsan
bo‘lmaydimmi;bo‘lmaydimi
boshqa ojy;boshqa joy
ahmma;hamma
b‘olmaydimi;bo‘lmaydimi
nima qilayapasn;nima qilayapsan
oyqmaydi-ku;yoqmaydi-ku
boo‘lmaydimi;bo‘lmaydimi
qilgamni edi;qilganmi edi
qalayasn;qalaysan
qila omlayman;qila olmayman
nima qlayapsan;nima qilayapsan
qarshi-al;qarshi-la
ilitmos;iltimos
boshqqa joy;boshqa joy
bo‘mlaydi;bo‘lmaydi
bilmaymna;bilmayman
qlaaysan;qalaysan
keliibman;kelibman
bohsqa joy;boshqa joy
qziqcha;qiziqcha
boshhqa;boshqa
kevtotti;ketvotti
nimaa qilayapsan;nima qilayapsan
bilmyaman;bilmayman
qiglanmi edi;qilganmi edi
qilganmii edi;qilganmi edi
brmayman;bormayman
yomonmi dei;yomonmi edi
biilmadim-ku;bilmadim-ku
nima qliayapsan;nima qilayapsan
naras yo‘q;narsa yo‘q
qilaayapman;qilayapman
slaom;salom
ga‘laba;g‘alaba
nima qilayappsan;nima qilayapsan
salmo;salom
bromayman;bormayman
qarsih-la;qarshi-la
yomonim;yomonmi
qila olmamyan;qila olmayman
ovoz berayaapti;ovoz berayapti
ketayaapmiz;ketayapmiz
bo‘ldai;bo‘ladi
tosphiriqni;topshiriqni
qiziiqcha;qiziqcha
ko‘rmaayman;ko‘rmayman
topshirriqni;topshiriqni
kimidr;kimdir
ko‘rmmayman;ko‘rmayman
ovoz beraayapti;ovoz berayapti
ovooz berayapti;ovoz berayapti
yoqamydi-ku;yoqmaydi-ku
nechha pul;necha pul
qilla olmayman;qila olmayman
bilmadimm-ku;bilmadim-ku
boshqa jjoy;boshqa joy
yoqmayydi-ku;yoqmaydi-ku
qrshi-la;qarshi-la
nimaidr;nimadir
qila ollmayman;qila olmayman
qlay ishlar;qalay ishlar
nima qiilayapsan;nima qilayapsan
gap yoo‘q;gap yo‘q
narsa oy‘q;narsa yo‘q
qizicqha;qiziqcha
o‘rttacha;o‘rtacha
qila  olmayman;qila olmayman
qsiqacha;qisqacha
g‘alab;g‘alaba
qisqacah;qisqacha
bo‘lmayidmi;bo‘lmaydimi
qaysi-lla;qaysi-la
ketvtoti;ketvotti
yoqqmaydi-ku;yoqmaydi-ku
nimma qilayapsan;nima qilayapsan
myali-mi;mayli-mi
qila olamyman;qila olmayman
qalay ishllar;qalay ishlar
ga pyo‘q;gap yo‘q
yozbiman;yozibman
iblmadim-ku;bilmadim-ku
bordimu-;bordim-u
qala yishlar;qalay ishlar
topshiriqqni;topshiriqni
boshqa jyo;boshqa joy
g‘laba;g‘alaba
ko‘rrmayman;ko‘rmayman
ovozb erayapti;ovoz berayapti
qilganmmi edi;qilganmi edi
yomonmi eid;yomonmi edi
neccha pul;necha pul
‘galaba;g‘alaba
ozgiina;ozgina
mayli-mmi;mayli-mi
nima qilaypasan;nima qilayapsan
bilmadi-mku;bilmadim-ku
blimayman;bilmayman
qilganmi eedi;qilganmi edi
yomonnmi edi;yomonmi edi
yomonmmi edi;yomonmi edi
qilao lmayman;qila olmayman
soradi;so‘radi
gpa yo‘q;gap yo‘q
bo‘lmaydiimi;bo‘lmaydimi
yomonmi  edi;yomonmi edi
so‘raddi;so‘radi
qaalay ishlar;qalay ishlar
bilmadmi-ku;bilmadim-ku
ovoz bberayapti;ovoz berayapti
bilmaddim-ku;bilmadim-ku
nromal;normal
norrmal;normal
qalayi shlar;qalay ishlar
yomnomi edi;yomonmi edi
bo‘lmayddimi;bo‘lmaydimi
narsa yoq‘;narsa yo‘q
yomonmi eddi;yomonmi edi
ovoz bearyapti;ovoz berayapti
mayl-imi;mayli-mi
bordi-mu;bordim-u
iltiimos;iltimos
ovoz berayapit;ovoz berayapti
keladdi-ya;keladi-ya
biilmayman;bilmayman
yoqmmaydi-ku;yoqmaydi-ku
ketvotit;ketvotti
ko‘rmaymna;ko‘rmayman
qalay ishhlar;qalay ishlar
yomonmie di;yomonmi edi
ovoz beraaypti;ovoz berayapti
oovz berayapti;ovoz berayapti
qarsh-ila;qarshi-la
nrasa yo‘q;narsa yo‘q
pasttroq;pastroq
topsshiriqni;topshiriqni
ketvootti;ketvotti
ozgna;ozgina
qilaa olmayman;qila olmayman
qrashi-la;qarshi-la
nima  qilayapsan;nima qilayapsan
ovoz berayaptti;ovoz berayapti
nasra yo‘q;narsa yo‘q
brodim-u;bordim-u
yarashadi-ay;yarashadi-ya
bormaayman;bormayman
bordmi-u;bordim-u
ovozz berayapti;ovoz berayapti
ortacha;o‘rtacha
boribmna;boribman
oyqmaydi;yoqmaydi
otpshiriqni;topshiriqni
topshirinqi;topshiriqni
yarashadii-ya;yarashadi-ya
yarashadiy-a;yarashadi-ya
yarashdai-ya;yarashadi-ya
bodrim-u;bordim-u
nima qqilayapsan;nima qilayapsan
topshirqni;topshiriqni
yarashad-iya;yarashadi-ya
bo‘laid;bo‘ladi
qmimatmi;qimmatmi
gap y‘oq;gap yo‘q
necha upl;necha pul
bilmaadim-ku;bilmadim-ku
nima qilayaapsan;nima qilayapsan
bormayamn;bormayman
ovo zberayapti;ovoz berayapti
qila olmayyman;qila olmayman
nim aqilayapsan;nima qilayapsan
keladi--ya;keladi-ya
