id,text,sentiment
589,"aviachiptalar haqida fikrlar turlicha, hozircha oddatdagidek. ℹ️",neutral
590,"dastur bo'yicha yangilanish chiqdi, lekin hozircha shunchaki ma'lumot uchun. 🤔 ℹ️",neutral
591,"😡 internet xizmati bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, juda jahlim chiqdi.",negative
592,"bugungi talim mavzusi zerikarli bo'ldi, tavsiya etmayman",negative
593,"Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, juda xursand bo'ldim. 😄 😁",positive
594,"bugun kino bo'yicha faqat kuzatib turdim, neytralman",neutral
595,shunchaki 🙄,neutral
596,"noutbuk haqida fikrlar turlicha, hozircha oddatdagidek.",neutral
597,"✨ o'tgan oy Namanganga bordim, hamma narsa zo'r bo'ldi.",positive
598,"bugun kino bo'yicha faqat kuzatib turdim, shunchaki",neutral
599,"o'tgan oy Andijonga bordim, hamma narsa hayratda qoldim. 😁",positive
600,"ertaga Farg'onada imtihon bo'lib o'tdi, men faqat qatnashdim, neytral qarayman. ℹ️ 😶",neutral
601,"📌 🤔 Facebookda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, shunchaki ma'lumot uchun.",neutral
602,"kommentlarni o'qidim, kulib qo'ydim xolos",neutral
603,"ertaga professor bilan qisqa suhbatlashdim, hech qanday o'zgarish sezilmadi.",neutral
604,"aviachiptalar haqida fikrlar turlicha, hozircha neytral qarayman. 😶",neutral
605,"😍 uchrashuv juda samarali o'tdi, rahbar tushuntirgan mavzu juda foydali bo'ldi, yoqib qoldi.",positive
606,"oyin bo'yicha blog postini ko'rdim, shunchaki 📌",neutral
607,"👍 bugun Andijonga bordim, hamma narsa hayratda qoldim.",positive
608,"o'qituvchi va'da qilgan ishini bajarmadi, natijadan afsuslandim. 😔",negative
609,"video bo'yicha talim mavzusi zo'r chiqibdi, bombaaa 😊",positive
610,"✨ 😄 Telegramda yangi kofe haqida post ko'rdim, menga juda yoqdi, yoqib qoldi.",positive
611,"shu hafta rahbar bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
612,"Redmi Note 13 sotib oldim, narxi arzon emas, lekin sifati uchun kayfiyatim ko'tarildi.",positive
613,"😞 iPhone 15 sifati kutilganidek emas, juda sust ishlayapti, juda jahlim chiqdi.",negative
614,"bugun texnika bo'yicha faqat kuzatib turdim, prosta savol 🙄",neutral
615,"📌 kuryer xizmati bo'yicha yangilanish chiqdi, lekin hozircha hech qanday o'zgarish sezilmadi.",neutral
616,"opa juda chiroyli tushuntiribdi, klass",positive
617,"planshet sotib oldim, narxi arzon emas, lekin sifati uchun yoqib qoldi. 😁 😎",positive
618,"bugungi siyosat mavzusi zerikarli bo'ldi, hech nima tushunmadim 🤬",negative
619,"Buxorodagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, zo'r bo'ldi. 🥰",positive
620,"🙄 shu hafta professor bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
621,"😍 imtihon juda samarali o'tdi, professor tushuntirgan mavzu juda foydali bo'ldi, zo'r bo'ldi.",positive
622,"YouTubedagi reklamalar juda asabga tegayapti, xafa bo'ldim.",negative
623,"kecha Namanganda dars bo'lib o'tdi, men faqat qatnashdim, shunchaki ma'lumot uchun. 📌",neutral
624,umidsizlik 😢,negative
625,😁 =),positive
626,🙄 🙄,neutral
627,"kommentlarda hammasi urush, juda yomon 😔",negative
628,📌 !?,neutral
629,"Instagramda yangi Samsung A55 haqida post ko'rdim, menga juda yoqdi, mamnunman.",positive
630,"Telegramdagi reklamalar juda asabga tegayapti, umuman yoqmadi. 👎",negative
631,"😍 dars juda samarali o'tdi, direktor tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim.",positive
632,"😭 kuryer xizmati bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, afsuslandim.",negative
633,"dastur sifati yana tushib ketgan, bekor ketdi hamma narsasi >:(",negative
634,"bugungi blog mavzusi zerikarli bo'ldi, bekor ekan 😡",negative
635,servis noldan ham past,negative
636,"Andijondagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, yoqib qoldi. 🤩",positive
637,"kelasi oy o'qituvchi bilan qisqa suhbatlashdim, neytral qarayman. 😐",neutral
638,🥰 ✨ <3 🔥,positive
639,"Twitterda kofe haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddatdagidek. 😶",neutral
640,"🤔 kuryer xizmati bo'yicha yangilanish chiqdi, lekin hozircha neytral qarayman.",neutral
641,!? 📌 ✍️,neutral
642,"😁 uchrashuv juda samarali o'tdi, dekan tushuntirgan mavzu juda foydali bo'ldi, zo'r bo'ldi.",positive
643,"kelasi oy Samarqandga bordim, hamma narsa zo'r bo'ldi. 👍",positive
644,"😊 dars juda samarali o'tdi, dekan tushuntirgan mavzu juda foydali bo'ldi, zo'r bo'ldi.",positive
645,"opa juda chiroyli tushuntiribdi, top 😍",positive
646,"😔 Instagramdagi reklamalar juda asabga tegayapti, xafa bo'ldim.",negative
647,"Samarqanddagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, mamnunman.",positive
648,"😔 😭 kitob sifati kutilganidek emas, juda sust ishlayapti, xafa bo'ldim.",negative
649,"bloger juda chiroyli tushuntiribdi, menga yoqdi ❤️",positive
650,"o'tgan oy hamkasbim bilan qisqa suhbatlashdim, oddatdagidek.",neutral
651,"bugungi yangiliklar mavzusi zerikarli bo'ldi, juda yomon 🤦‍♂️",negative
652,"aka juda chiroyli tushuntiribdi, super 😎",positive
653,"kofe sifati kutilganidek emas, juda sust ishlayapti, juda jahlim chiqdi. 😡",negative
654,"kommentlarda hammasi urush, bekor ekan 😔",negative
655,"😍 imtihon juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, kayfiyatim ko'tarildi.",positive
656,"Telegramda kofe haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, hech qanday o'zgarish sezilmadi.",neutral
657,"bugungi texnika mavzusi zerikarli bo'ldi, juda yomon 😭",negative
658,"ertaga professor bilan qisqa suhbatlashdim, oddatdagidek. 😶",neutral
659,"Samarqanddagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
660,"aka umuman tushuntira olmadi, nogiron qilindi",negative
661,bunday bo'lmasligi kerak edi 😠,negative
662,"Telegramda Samsung A55 haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddiy bo'ldi.",neutral
663,"📌 📌 Redmi Note 13 haqida fikrlar turlicha, hozircha neytral qarayman.",neutral
664,"😔 o'qituvchi va'da qilgan ishini bajarmadi, natijadan noroziman.",negative
665,"😞 Buxoroga borish rejam buzildi, chiptalar bilan muammo bo'ldi, hafsalam pir bo'ldi.",negative
666,"🙄 Toshkent haqida yangilik o'qidim, oddiy bo'ldi.",neutral
667,"shu hafta Toshkentda bo'lgan seminar menga umuman yoqmadi, xafa bo'ldim. 😔 😡",negative
668,"😁 Redmi Note 13 sotib oldim, narxi arzon emas, lekin sifati uchun mamnunman.",positive
669,"👍 🤩 Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, juda xursand bo'ldim.",positive
670,"bloger nimadir yozibdi, lekin men uchun ko'rdim xolos",neutral
671,"imtihon juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, zo'r bo'ldi. 😎",positive
672,"Andijon haqida yangilik o'qidim, shunchaki ma'lumot uchun. 😐 🤔",neutral
673,"kitob sotib oldim, narxi arzon emas, lekin sifati uchun yoqib qoldi. 🥰",positive
674,"✨ bugun Samarqandga bordim, hamma narsa mamnunman.",positive
675,"bugungi dastur haqidagi futbol videolari yoqdi, super 😄",positive
676,"telefon operatori bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, hafsalam pir bo'ldi. 😔 💔",negative
677,"hamma juda chiroyli tushuntiribdi, chiqqan joyi yoqdi 😊",positive
678,"Instagramda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddatdagidek. 😐 🙄",neutral
679,"💔 Instagramdagi reklamalar juda asabga tegayapti, juda jahlim chiqdi.",negative
680,hech nima tushunmadim 💔,negative
681,🤔,neutral
682,"bugungi futbol mavzusi zerikarli bo'ldi, servis noldan ham past",negative
683,"odamlar juda chiroyli tushuntiribdi, rahmat, zo'r ekan 😁",positive
684,"Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, kayfiyatim ko'tarildi. 😄",positive
685,🤔 ℹ️ ℹ️,neutral
686,"✨ bugun Toshkentga bordim, hamma narsa hayratda qoldim.",positive
687,"kecha Namanganga bordim, hamma narsa juda xursand bo'ldim. ✨ 🥰",positive
688,"shu hafta Samarqandda bo'lgan uchrashuv menga umuman yoqmadi, juda jahlim chiqdi.",negative
689,"seminar juda samarali o'tdi, do'stim tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim.",positive
690,"📌 shu hafta do'stim bilan qisqa suhbatlashdim, hech qanday o'zgarish sezilmadi.",neutral
691,"o'tgan oy do'stim bilan qisqa suhbatlashdim, oddatdagidek.",neutral
692,"👍 Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, hayratda qoldim.",positive
693,"🤬 Telegramdagi reklamalar juda asabga tegayapti, afsuslandim.",negative
694,rosa yoqdi 🔥,positive
695,"ℹ️ 😶 YouTubeda kofe haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, hech qanday o'zgarish sezilmadi.",neutral
696,"😡 Samarqandga borish rejam buzildi, chiptalar bilan muammo bo'ldi, afsuslandim.",negative
697,"YouTubeda yangi noutbuk haqida post ko'rdim, menga juda yoqdi, mamnunman. 😍",positive
698,"dastur bo'yicha musiqa mavzusi zo'r chiqibdi, top 🔥",positive
699,kommentlarni o'qib rostdan ham klass 😄,positive
700,"opa juda chiroyli tushuntiribdi, top 😊",positive
701,"👍 uchrashuv juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim.",positive
702,"ertaga Xivada dars bo'lib o'tdi, men faqat qatnashdim, neytral qarayman.",neutral
703,"dastur bo'yicha yangilanish chiqdi, lekin hozircha hech qanday o'zgarish sezilmadi. 🤔 📌",neutral
704,"Xivadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, kayfiyatim ko'tarildi. 👍",positive
705,"aka nimadir yozibdi, lekin men uchun kulib qo'ydim xolos",neutral
706,"YouTubedagi reklamalar juda asabga tegayapti, afsuslandim. 😭",negative
707,"admin juda chiroyli tushuntiribdi, zo'r 😊",positive
708,"bugun Andijonga bordim, hamma narsa mamnunman. 🥰",positive
709,"ilova bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, umuman yoqmadi.",negative
710,"Twitterda yangi kofe haqida post ko'rdim, menga juda yoqdi, hayratda qoldim. 😁 ✨",positive
711,"kelasi oy Qo'qonda dars bo'lib o'tdi, men faqat qatnashdim, shunchaki ma'lumot uchun.",neutral
712,"😐 kelasi oy Xivada seminar bo'lib o'tdi, men faqat qatnashdim, neytral qarayman.",neutral
713,"Twitterda yangi noutbuk haqida post ko'rdim, menga juda yoqdi, juda xursand bo'ldim. 🤩",positive
714,"planshet sotib oldim, narxi arzon emas, lekin sifati uchun zo'r bo'ldi. 😍",positive
715,"Instagramda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, shunchaki ma'lumot uchun.",neutral
716,hech narsa o'zgarmadi 🙄,neutral
717,"kuryer xizmati bo'yicha yangilanish chiqdi, lekin hozircha oddatdagidek.",neutral
718,"o'tgan oy direktor bilan qisqa suhbatlashdim, neytral qarayman. 🤔",neutral
719,"bugun Samarqandda dars bo'lib o'tdi, men faqat qatnashdim, neytral qarayman. ℹ️",neutral
720,"aka juda chiroyli tushuntiribdi, rahmat, zo'r ekan 🔥",positive
721,"kommentlarni o'qidim, prosta savol 🙄",neutral
722,"😊 Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, kayfiyatim ko'tarildi.",positive
723,"✨ imtihon juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim.",positive
724,"kitob haqida fikrlar turlicha, hozircha neytral qarayman. 😶",neutral
725,🤔 ✍️ 🙄,neutral
726,"✨ uchrashuv juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, zo'r bo'ldi.",positive
727,"😄 Twitterda yangi kitob haqida post ko'rdim, menga juda yoqdi, hayratda qoldim.",positive
728,"bugungi sayt haqidagi musiqa videolari yoqdi, gap yo'q 😄",positive
729,"kecha Samarqandga bordim, hamma narsa kayfiyatim ko'tarildi.",positive
730,"ℹ️ 🙄 shu hafta do'stim bilan qisqa suhbatlashdim, neytral qarayman.",neutral
731,"ilova bo'yicha blog postini ko'rdim, ko'rdim xolos 😶",neutral
732,😎,positive
733,"bugungi video haqidagi kommentlar videolari yoqdi, chiqqan joyi yoqdi 😄",positive
734,"🥰 kofe sotib oldim, narxi arzon emas, lekin sifati uchun kayfiyatim ko'tarildi.",positive
735,"Samarqanddagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, juda xursand bo'ldim. 👍",positive
736,"😠 kelasi oy Namanganda bo'lgan majlis menga umuman yoqmadi, noroziman.",negative
737,"Andijon haqida yangilik o'qidim, shunchaki ma'lumot uchun. 📌",neutral
738,"bugungi futbol mavzusi zerikarli bo'ldi, tavsiya etmayman 😭",negative
739,"opa juda chiroyli tushuntiribdi, klass 😁",positive
740,"👍 aviachiptalar sotib oldim, narxi arzon emas, lekin sifati uchun yoqib qoldi.",positive
741,"bugun kino bo'yicha faqat kuzatib turdim, shunchaki ✍️",neutral
742,"bugungi internet haqidagi kino videolari yoqdi, rahmat, zo'r ekan",positive
743,"ilova sifati yana tushib ketgan, bunday bo'lmasligi kerak edi",negative
744,"bugun direktor bilan qisqa suhbatlashdim, oddiy bo'ldi. ℹ️ 🙄",neutral
745,"🤬 hamkasbim va'da qilgan ishini bajarmadi, natijadan noroziman.",negative
746,"Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
747,"shu hafta Samarqandga bordim, hamma narsa yoqib qoldi.",positive
748,🔥,positive
749,kommentlarni o'qib rostdan ham super 🤩,positive
750,"YouTubeda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddatdagidek.",neutral
751,"🤬 o'qituvchi va'da qilgan ishini bajarmadi, natijadan noroziman.",negative
752,"Telegramda kofe haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman. 😶 🤔",neutral
753,"o'tgan oy do'stim bilan qisqa suhbatlashdim, neytral qarayman.",neutral
754,😐 ...,neutral
755,"aka nimadir yozibdi, lekin men uchun fikir yo'q ✍️",neutral
756,"admin umuman tushuntira olmadi, umidsizlik 😡",negative
757,"Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, mamnunman. 😊",positive
758,"servis bo'yicha kino postini ko'rdim, fikir yo'q ✍️",neutral
759,"ertaga Namanganda seminar bo'lib o'tdi, men faqat qatnashdim, hech qanday o'zgarish sezilmadi. 🙄",neutral
760,yoqmadi 😭,negative
761,kommentlarni o'qib rostdan ham rosa yoqdi 👍,positive
762,"✨ Yangi mijozlarga xizmat ko'rsatish ishga tushdi, hozircha hammasi yaxshi ishlayapti, juda xursand bo'ldim.",positive
763,"Samarqandga borish rejam buzildi, chiptalar bilan muammo bo'ldi, xafa bo'ldim.",negative
764,😍 👍 ❤️,positive
765,"o'tgan oy Namanganda bo'lgan dars menga umuman yoqmadi, hafsalam pir bo'ldi.",negative
766,"YouTubeda yangi kitob haqida post ko'rdim, menga juda yoqdi, juda xursand bo'ldim. 👍",positive
767,"😞 🤬 Instagramdagi reklamalar juda asabga tegayapti, afsuslandim.",negative
768,"😎 Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
769,"bugungi sayt haqidagi talim videolari yoqdi, top 🥰",positive
770,"Twitterda yangi kofe haqida post ko'rdim, menga juda yoqdi, juda xursand bo'ldim. 😍 🥰",positive
771,!? :| ??,neutral
772,"ilova bo'yicha pul mavzusi zo'r chiqibdi, bombaaa 👍",positive
773,"kitob sifati kutilganidek emas, juda sust ishlayapti, hafsalam pir bo'ldi.",negative
774,"😭 ertaga Farg'onada bo'lgan majlis menga umuman yoqmadi, hafsalam pir bo'ldi.",negative
775,"Qo'qon haqida yangilik o'qidim, neytral qarayman.",neutral
776,"Instagramda yangi aviachiptalar haqida post ko'rdim, menga juda yoqdi, juda xursand bo'ldim.",positive
777,kommentlarni o'qib rostdan ham menga yoqdi 😍,positive
778,"ertaga Qo'qonda dars bo'lib o'tdi, men faqat qatnashdim, neytral qarayman.",neutral
779,"Samsung A55 sifati kutilganidek emas, juda sust ishlayapti, xafa bo'ldim. 😞 😠",negative
780,"🤩 Telegramda yangi aviachiptalar haqida post ko'rdim, menga juda yoqdi, mamnunman.",positive
781,"🥰 😍 Yangi dastur ishga tushdi, hozircha hammasi yaxshi ishlayapti, juda xursand bo'ldim.",positive
782,"sayt sifati yana tushib ketgan, servis noldan ham past 😢",negative
783,"Facebookda yangi iPhone 15 haqida post ko'rdim, menga juda yoqdi, mamnunman. 😍",positive
784,"kitob sotib oldim, narxi arzon emas, lekin sifati uchun kayfiyatim ko'tarildi. 🥰",positive
785,"direktor va'da qilgan ishini bajarmadi, natijadan noroziman.",negative
786,"😍 😍 Samarqanddagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
787,"😍 😁 bugun Toshkentga bordim, hamma narsa mamnunman.",positive
788,"admin juda chiroyli tushuntiribdi, rahmat, zo'r ekan ✨",positive
789,"shu hafta Andijonda uchrashuv bo'lib o'tdi, men faqat qatnashdim, oddiy bo'ldi.",neutral
790,"😁 Telegramda yangi Samsung A55 haqida post ko'rdim, menga juda yoqdi, zo'r bo'ldi.",positive
791,;) 😎 🥰,positive
792,"Instagramda yangi Samsung A55 haqida post ko'rdim, menga juda yoqdi, zo'r bo'ldi. 👍",positive
793,"konferensiya juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, kayfiyatim ko'tarildi. 😍",positive
794,😠,negative
795,"😍 bugun Xivaga bordim, hamma narsa hayratda qoldim.",positive
796,"Yangi bank xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, zo'r bo'ldi. 😁 😁",positive
797,"instagram sahifa bo'yicha kommentlar postini ko'rdim, info uchun",neutral
798,"Qo'qondagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
799,"Samarqandga borish rejam buzildi, chiptalar bilan muammo bo'ldi, afsuslandim. 🤬",negative
800,"bugungi telegram kanal haqidagi talim videolari yoqdi, kontent yoqdi 😄",positive
801,yaxshi ishlayapti 🔥,positive
802,🤔 🤔,neutral
803,"😡 kecha Toshkentda bo'lgan dars menga umuman yoqmadi, afsuslandim.",negative
804,servis noldan ham past 😞,negative
805,"Twitterda yangi kitob haqida post ko'rdim, menga juda yoqdi, zo'r bo'ldi.",positive
806,"konferensiya juda samarali o'tdi, rahbar tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim. ✨ 😁",positive
807,"Yangi mijozlarga xizmat ko'rsatish ishga tushdi, hozircha hammasi yaxshi ishlayapti, juda xursand bo'ldim. 🤩 😊",positive
808,"📌 Farg'ona haqida yangilik o'qidim, oddiy bo'ldi.",neutral
809,"direktor va'da qilgan ishini bajarmadi, natijadan juda jahlim chiqdi.",negative
810,"Toshkentdagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, yoqib qoldi. 😊",positive
811,<3 😁 😎 🥰,positive
812,"opa juda chiroyli tushuntiribdi, kontent yoqdi =)",positive
813,"Yangi telefon operatori ishga tushdi, hozircha hammasi yaxshi ishlayapti, yoqib qoldi. 😎",positive
814,"bugungi telegram kanal haqidagi texnika videolari yoqdi, bombaaa 😄",positive
815,"oyin bo'yicha yangiliklar postini ko'rdim, hech narsa o'zgarmadi 🤔",neutral
816,"bugun Samarqandga bordim, hamma narsa zo'r bo'ldi.",positive
817,"😄 Samarqanddagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
818,"🙄 😐 Redmi Note 13 haqida fikrlar turlicha, hozircha neytral qarayman.",neutral
819,"🤔 🤔 kuryer xizmati bo'yicha yangilanish chiqdi, lekin hozircha hech qanday o'zgarish sezilmadi.",neutral
820,"😁 Yangi dastur ishga tushdi, hozircha hammasi yaxshi ishlayapti, juda xursand bo'ldim.",positive
821,"iPhone 15 haqida fikrlar turlicha, hozircha neytral qarayman.",neutral
822,"Qo'qonga borish rejam buzildi, chiptalar bilan muammo bo'ldi, umuman yoqmadi. 🤬 😠",negative
823,"😐 kofe haqida fikrlar turlicha, hozircha neytral qarayman.",neutral
824,"Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, yoqib qoldi. 👍 😍",positive
825,"post bo'yicha futbol postini ko'rdim, kulib qo'ydim xolos 🙄",neutral
826,"😐 kitob haqida fikrlar turlicha, hozircha shunchaki ma'lumot uchun.",neutral
827,"Facebookdagi reklamalar juda asabga tegayapti, hafsalam pir bo'ldi. 😞 😢",negative
828,"shu hafta Toshkentda imtihon bo'lib o'tdi, men faqat qatnashdim, oddiy bo'ldi.",neutral
829,"😔 Andijonga borish rejam buzildi, chiptalar bilan muammo bo'ldi, xafa bo'ldim.",negative
830,;) ❤️,positive
831,"ertaga Toshkentga bordim, hamma narsa hayratda qoldim. 😊",positive
832,"😶 Facebookda kitob haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman.",neutral
833,:( 💔 >:( 😭,negative
834,"opa umuman tushuntira olmadi, servis noldan ham past",negative
835,"dars juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, yoqib qoldi. 😍",positive
836,"shu hafta Buxoroda imtihon bo'lib o'tdi, men faqat qatnashdim, neytral qarayman.",neutral
837,"🙄 kuryer xizmati bo'yicha yangilanish chiqdi, lekin hozircha oddiy bo'ldi.",neutral
838,"ilova bo'yicha kommentlar mavzusi zo'r chiqibdi, rahmat, zo'r ekan ;)",positive
839,"bugun texnika bo'yicha faqat kuzatib turdim, bilmayman",neutral
840,😶 📌 ℹ️,neutral
841,"😎 imtihon juda samarali o'tdi, dekan tushuntirgan mavzu juda foydali bo'ldi, kayfiyatim ko'tarildi.",positive
842,!? 😐,neutral
843,"mijozlarga xizmat ko'rsatish bo'yicha yangilanish chiqdi, lekin hozircha oddiy bo'ldi. 🙄 😶",neutral
844,"dars juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim.",positive
845,"ertaga do'stim bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
846,"😡 Instagramdagi reklamalar juda asabga tegayapti, juda jahlim chiqdi.",negative
847,"✨ 😄 aviachiptalar sotib oldim, narxi arzon emas, lekin sifati uchun kayfiyatim ko'tarildi.",positive
848,"video bo'yicha blog postini ko'rdim, bilmayman",neutral
849,"bugun dekan bilan qisqa suhbatlashdim, oddatdagidek. 🤔",neutral
850,"Telegramda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman. 🤔 🙄",neutral
851,"noutbuk sotib oldim, narxi arzon emas, lekin sifati uchun mamnunman. 😊 😄",positive
852,"Farg'ona haqida yangilik o'qidim, shunchaki ma'lumot uchun. 🙄 🤔",neutral
853,"😭 ilova bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, hafsalam pir bo'ldi.",negative
854,"📌 📌 kecha Farg'onada konferensiya bo'lib o'tdi, men faqat qatnashdim, neytral qarayman.",neutral
855,"ℹ️ shu hafta Namanganda seminar bo'lib o'tdi, men faqat qatnashdim, oddatdagidek.",neutral
856,"🙄 o'tgan oy Buxoroda dars bo'lib o'tdi, men faqat qatnashdim, oddiy bo'ldi.",neutral
857,"Xivadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, kayfiyatim ko'tarildi. 🤩 😍",positive
858,"aviachiptalar haqida fikrlar turlicha, hozircha shunchaki ma'lumot uchun. 🙄",neutral
859,:( 😡 😠 🤬,negative
860,"bugun Samarqandga bordim, hamma narsa hayratda qoldim. 😎",positive
861,"sayt bo'yicha musiqa mavzusi zo'r chiqibdi, gap yo'q",positive
862,"bugungi ilova haqidagi siyosat videolari yoqdi, kontent yoqdi ✨",positive
863,"aviachiptalar haqida fikrlar turlicha, hozircha shunchaki ma'lumot uchun. 🤔",neutral
864,"aka umuman tushuntira olmadi, zerikarli 😞",negative
865,"😄 ✨ o'tgan oy Qo'qonga bordim, hamma narsa yoqib qoldi.",positive
866,"Xivadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim. 😄 🥰",positive
867,😊 😄 ❤️,positive
868,🤦‍♂️ 😞 >:( >:(,negative
869,"bugun yangiliklar bo'yicha faqat kuzatib turdim, hech narsa o'zgarmadi 🙄",neutral
870,"kelasi oy Xivada bo'lgan dars menga umuman yoqmadi, afsuslandim.",negative
871,"Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, hayratda qoldim. 😍 😁",positive
872,"konferensiya juda samarali o'tdi, professor tushuntirgan mavzu juda foydali bo'ldi, yoqib qoldi. 🥰",positive
873,"o'tgan oy Samarqandga bordim, hamma narsa zo'r bo'ldi.",positive
874,"bugungi servis haqidagi yangiliklar videolari yoqdi, klass 👍",positive
875,"😎 kecha Namanganga bordim, hamma narsa kayfiyatim ko'tarildi.",positive
876,"🤩 Samsung A55 sotib oldim, narxi arzon emas, lekin sifati uchun yoqib qoldi.",positive
877,"dars juda samarali o'tdi, direktor tushuntirgan mavzu juda foydali bo'ldi, yoqib qoldi.",positive
878,"shu hafta Samarqandda dars bo'lib o'tdi, men faqat qatnashdim, hech qanday o'zgarish sezilmadi.",neutral
879,:| 📌,neutral
880,"o'tgan oy Andijonda bo'lgan dars menga umuman yoqmadi, juda jahlim chiqdi. 💔",negative
881,"Twitterda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman.",neutral
882,"😞 kuryer xizmati bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, umuman yoqmadi.",negative
883,"bank xizmati bo'yicha yangilanish chiqdi, lekin hozircha oddatdagidek. 🙄 🤔",neutral
884,"Telegramda yangi kitob haqida post ko'rdim, menga juda yoqdi, juda xursand bo'ldim.",positive
885,"Samarqanddagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, juda xursand bo'ldim.",positive
886,😍 😎 ✨,positive
887,"ℹ️ Samarqand haqida yangilik o'qidim, hech qanday o'zgarish sezilmadi.",neutral
888,"o'qib qo'ydim xolos, ko'rdim xolos :|",neutral
889,"noutbuk sotib oldim, narxi arzon emas, lekin sifati uchun zo'r bo'ldi. 🤩",positive
890,😍 ✨ 👍 :D,positive
891,"😶 Twitterda kitob haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, shunchaki ma'lumot uchun.",neutral
892,"📌 📌 noutbuk haqida fikrlar turlicha, hozircha oddiy bo'ldi.",neutral
893,"kommentlarni o'qidim, fikir yo'q 🤔",neutral
894,"yana shunaqa reklama chiqdi, charchatdi 😭",negative
895,"ertaga Andijonga bordim, hamma narsa hayratda qoldim.",positive
896,"😞 😭 professor va'da qilgan ishini bajarmadi, natijadan juda jahlim chiqdi.",negative
